stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
7124,,Tourcoing Centre,TOURCOING CENTRE 59200 TOURCOING,50.721252,3.157956,1,,1,,,0
6588,,Colbert,COLBERT 59200 TOURCOING,50.725116,3.156861,1,,1,,,0
6862,,Hentges,HENTGES 59200 TOURCOING,50.725261,3.160693,1,,1,,,0
1873,,Croix Rouge,CROIX ROUGE 59200 TOURCOING,50.732079,3.18052,1,,1,,,0
1860,,Austerlitz,AUSTERLITZ 59200 TOURCOING,50.718202,3.153936,1,,1,,,0
1788,,Pont Du Blanc Seau,PONT DU BLANC SEAU 59200 TOURCOING,50.695157,3.146116,1,,1,,,0
6892,,Flocon,FLOCON 59200 TOURCOING,50.711256,3.14916,1,,1,,,0
5961,,Faidherbe,FAIDHERBE 59200 TOURCOING,50.703896,3.142953,1,,1,,,0
1836,,Parc Clemenceau,PARC CLEMENCEAU 59200 TOURCOING,50.727581,3.148931,1,,1,,,0
5960,,Hotel Voyageurs,HOTEL DES VOYAGEURS 59200 TOURCOING,50.724692,3.146369,1,,1,,,0
5766,,Brossolette,BROSSOLETTE 59200 TOURCOING,50.730214,3.134418,1,,1,,,0
1803,,Les Francs,LES FRANCS 59200 TOURCOING,50.718731,3.141765,1,,1,,,0
1835,,Parc Des Francs,PARC DES FRANCS 59200 TOURCOING,50.720582,3.141258,1,,1,,,0
1718,,Poste,TOURCOING POSTE 59200 TOURCOING,50.718974,3.163372,1,,1,,,0
1784,,Voltaire,VOLTAIRE 59200 TOURCOING,50.726528,3.128721,1,,1,,,0
1879,,Place,TRESSIN PLACE 59152 TRESSIN,50.616632,3.191573,1,,1,,,0
1885,,Mairie,VENDEVILLE MAIRIE 59175 VENDEVILLE,50.575441,3.078587,1,,1,,,0
5799,,Mairie,VERLINGHEM MAIRIE 59237 VERLINGHEM,50.681016,2.995618,1,,1,,,0
6585,,Jean Jaures,V. D'ASCQ JEAN JAURES 59650 VILLENEUVE D ASCQ,50.658822,3.134775,1,,1,,,0
1914,,Bois Blancs,BOIS BLANCS 59650 VILLENEUVE D ASCQ,50.619274,3.141293,1,,1,,,0
1916,,Musee Du Terroir,MUSEE DU TERROIR 59650 VILLENEUVE D ASCQ,50.625867,3.153668,1,,1,,,0
7063,,I.U.T. Crest,I.U.T. CREST 59650 VILLENEUVE D ASCQ,50.649343,3.161741,1,,1,,,0
2008,,Catel,CATEL 59650 VILLENEUVE D ASCQ,50.660222,3.13611,1,,1,,,0
5648,,Note Bleue,NOTE BLEUE 59650 VILLENEUVE D ASCQ,50.649251,3.152654,1,,1,,,0
4355,,Harisson,HARISSON 59650 VILLENEUVE D ASCQ,50.606403,3.162866,1,,1,,,0
6415,,Cte Scientifique,CITE SCIENTIFIQUE 59650 VILLENEUVE D ASCQ,50.612046,3.142333,1,,1,,,0
7128,,Colpin,COLPIN 59650 VILLENEUVE D ASCQ,50.645612,3.132914,1,,1,,,0
4351,,Flers Bourg,FLERS BOURG 59650 VILLENEUVE D ASCQ,50.63635,3.127985,1,,1,,,0
1957,,Louis Constant,LOUIS CONSTANT 59650 VILLENEUVE D ASCQ,50.655394,3.13774,1,,1,,,0
6858,,Valmy,VALMY 59650 VILLENEUVE D ASCQ,50.616907,3.134191,1,,1,,,0
6385,,8 Mai 1945,8 MAI 1945 59650 VILLENEUVE D ASCQ,50.640951,3.155749,1,,1,,,0
7066,,Campus,CAMPUS 59650 VILLENEUVE D ASCQ,50.643629,3.138525,1,,1,,,0
2030,,Mairie,WAMBRECHIES MAIRIE 59118 WAMBRECHIES,50.686942,3.052766,1,,1,,,0
2031,,P.A. Du Moulin,P.A. DU MOULIN 59118 WAMBRECHIES,50.685235,3.061016,1,,1,,,0
5912,,Plat Pays,PLAT PAYS 59118 WAMBRECHIES,50.707261,3.067578,1,,1,,,0
7053,,Briqueterie,BRIQUETERIE 59290 WASQUEHAL,50.691517,3.148613,1,,1,,,0
2085,,Sentier Des Briques,SENTIER DES BRIQUES 59290 WASQUEHAL,50.690127,3.147235,1,,1,,,0
2087,,Centre,WASQUEHAL CENTRE (RUE PASTEUR) 59290 WASQUEHAL,50.670742,3.127922,1,,1,,,0
2044,,Hotel De Ville,WASQUEHAL HOTEL DE VILLE 59290 WASQUEHAL,50.670269,3.131824,1,,1,,,0
5542,,Terray,TERRAY 59139 WATTIGNIES,50.590017,3.035738,1,,1,,,0
7089,,Kleber,KLEBER 59139 WATTIGNIES,50.582952,3.030172,1,,1,,,0
5538,,Racine,RACINE 59139 WATTIGNIES,50.586446,3.034321,1,,1,,,0
7555,,Centre Commercial,WATTIGNIES CENTRE COMMERCIAL 59139 : WATTIG,50.589746,3.051743,1,,1,,,0
6941,,Bleriot,BLERIOT 59139 WATTIGNIES,50.588928,3.03957,1,,1,,,0
2204,,Carnot,CARNOT 59150 WATTRELOS,50.696312,3.202215,1,,1,,,0
4454,,Republique,REPUBLIQUE 59150 WATTRELOS,50.697712,3.205897,1,,1,,,0
4679,,Egalite,EGALITE 59150 WATTRELOS,50.71496,3.202114,1,,1,,,0
2190,,Hopital,HOPITAL 59150 WATTRELOS,50.701963,3.221239,1,,1,,,0
2197,,Vieille Place,VIEILLE PLACE 59150 WATTRELOS,50.703252,3.210202,1,,1,,,0
2241,,Beau Coin,BEAU COIN 59780 WILLEMS,50.63323,3.236681,1,,1,,,0
2250,,Mairie,BOIS GRENIER MAIRIE 59280 BOIS GRENIER,50.647232,2.876016,1,,1,,,0
2398,,Ecole,AUBERS ECOLE 59249 AUBERS,50.597385,2.830788,1,,1,,,0
2453,,Place Sainte Anne,PLACE SAINTE ANNE 7780 COMINES BELGIQUE,50.769045,2.999566,1,,1,,,0
7103,,Rue Leopold,RUE LEOPOLD 7700 MOUSCRON BELGIQUE,50.743454,3.222695,1,,1,,,0
6860,,Ferme Lassus,FERME LASSUS 7700 MOUSCRON BELGIQUE,50.717017,3.239364,1,,1,,,0
2504,,Cite,CITE 07730 LEERS NORD BELGIQUE,50.687595,3.262624,1,,1,,,0
FBG006,7378,Faubourg D'Arras,59900 LILLE CHEQUES -,50.613017,3.062325,1,,0,5483,,0
BGU002,7622,Bargues,59139 NOYELLES LES SECLIN -,50.575127,3.022569,1,,0,6995,,0
PNT001,5934,P.N. De Tressin,RUE PIERRE BRABANT 59152 ANSTAING - AU DROIT DU N° 1,50.611863,3.189771,1,,0,98,,0
JCT002,5893,Jacques Cartier,AVENUE LEON BLUM 59280 ARMENTIERES - AU DROIT DU 394,50.696889,2.887949,1,,0,102,,0
MAT002,3734,Maternite,RUE JULES LEBLEU 59280 ARMENTIERES - OPPOSE A LA MATERNITE,50.685713,2.867607,1,,0,6955,,0
ARM008,3452,Hotel De Ville,PLACE PLACE DU GENERAL DE GAULLE 59280 ARMENTIERES - AU DROIT DE LA MAIRIE,50.686835,2.881724,1,,0,132,,0
PMT003,1294,Place Aux Toiles,RUE DES FUSILLES 59280 ARMENTIERES - A L'OPP DU N° 2,50.688708,2.882225,1,,0,6961,,0
PLC002,3265,Place Chanzy,PLACE CHANZY 59280 ARMENTIERES - AU DROIT DE LA PLACE,50.685805,2.891624,1,,0,5771,,0
AAB002,373,Aristide Briand,AVENUE ARISTIDE BRIAND 59280 ARMENTIERES - A L'OPP DE LA RESIDENCE LALO,50.690959,2.886217,1,,0,6960,,0
HRO001,799,Herons,AVENUE LEON    BLUM 59280 ARMENTIERES - AU DROIT DE LA RES LES HERONS,50.701084,2.888659,1,,0,6311,,0
JJA001,5262,Jean Jaures,RUE JEAN JAURES 59280 ARMENTIERES - A L'OPP DU N° 45,50.685833,2.887262,1,,0,5776,,0
PMT002,1293,Place Aux Toiles,RUE ARISTIDE BRIAND 59280 ARMENTIERES - AU DROIT DU GARAGE PEUGEOT,50.688669,2.882747,1,,0,6961,,0
ARG007,4917,Armentieres Gare,RUE DE COMINES 59280 ARMENTIERES - COTE PARVIS DE LA GARE SNCF,50.680796,2.878157,1,,0,6950,,0
ARG082,4982,Armentieres Gare,FACE AU DEPOSE MINUTE 59280 ARMENTIERES - AU DROIT DE LA STATION,50.680929,2.878568,1,,0,6950,,0
BRV001,4932,Pierre Beregovoy,RUE DES FUSILLES 59280 ARMENTIERES - A L'OPP DU N° 54,50.691532,2.88049,1,,0,134,,0
LEO003,481,Leo Lagrange,AVENUE LEO LAGRANGE 59280 ARMENTIERES - A L’OPP DU 148 GROUPE SCOLAIRE,50.694916,2.887941,1,,0,6959,,0
ARM082,207,Hotel De Ville,PLACE ST VAAST 59280 ARMENTIERES - A L'OPP DE L'EGLISE,50.686935,2.883546,1,,0,132,,0
IDH001,4409,Faidherbe,BOULEVARD FAIDHERBE 59280 ARMENTIERES - AU DROIT DU N° 49,50.681849,2.873298,1,,0,6898,,0
AJO002,4771,Marechal Joffre,RUE DU MAL JOFFRE 59280 ARMENTIERES - AU DROIT DU CENTRE SOCIAL,50.697688,2.885797,1,,0,123,,0
ARG006,144,Armentieres Gare,RUE DE COMINES 59280 ARMENTIERES - PARVIS DE LA GARE SNCF,50.680912,2.878342,1,,0,6950,,0
QSP001,546,Republique,PLACE DE LA REPUBLIQUE 59280 ARMENTIERES -,50.685014,2.873628,1,,0,4618,,0
JCT001,4351,Jacques Cartier,AVENUE LEON BLUM 59280 ARMENTIERES - AU DROIT DU N ° 415,50.696585,2.88779,1,,0,102,,0
AAB001,409,Aristide Briand,AVENUE ARISTIDE BRIAND 59280 ARMENTIERES - AU DROIT DE LA RESIDENCE LALO,50.690763,2.886003,1,,0,6960,,0
SSO002,4355,Securite Sociale,RUE DE NIEULLES 59280 ARMENTIERES - AU DROIT DE LA CPAM,50.681797,2.88109,1,,0,6953,,0
ARM083,2977,Hotel De Ville,PLACE ST VAAST 59280 ARMENTIERES - AU DROIT DE L'EGLISE,50.686997,2.883731,1,,0,132,,0
SSO001,2313,Securite Sociale,RUE DES NIEULLES 59280 ARMENTIERES - AU DROIT DU N° 5,50.681761,2.881146,1,,0,6953,,0
RAY002,2231,Raymond Lis,RUE RAYMOND LYS 59280 ARMENTIERES - AU DRIT DU N°81,50.692006,2.884689,1,,0,110,,0
MAT001,2540,Maternite,RUE JULES LEBLEU 59280 ARMENTIERES - AU DROIT DE LA MATERNITE,50.685775,2.867692,1,,0,6955,,0
GAA005,7695,Gare Annexe,AVENUE DE L EUROPE 59280 ARMENTIERES -,50.691127,2.872494,1,,0,114,,0
ISA002,7694,Piscine,AVENUE DE L'EUROPE 59280 ARMENTIERES -,50.689696,2.869485,1,,0,6880,,0
ISA001,7693,Piscine,AVENUE DE L'EUROPE 59280 ARMENTIERES -,50.689642,2.869555,1,,0,6880,,0
HAZ002,5032,Lycee Hazard,RUE JULES LEBLEU 59280 ARMENTIERES - A L'OPP DU N° 84,50.68851,2.874202,1,,0,5775,,0
MAT004,7844,Maternite,59280 ARMENTIERES -,50.686348,2.867896,1,,0,6955,,0
MAT003,7843,Maternite,59280 ARMENTIERES -,50.685762,2.868568,1,,0,6955,,0
PCI001,6355,Europe,BOULEVARD FAIDHERBE 59280 ARMENTIERES - A L'OPP RUCHE D'ENTREPRISES,50.689389,2.865641,1,,0,6901,,0
ABI001,1970,Le Bizet,CHEMIN DES RABECQUES 59280 ARMENTIERES - AU DROIT DU N° 4,50.705885,2.884051,1,,0,140,,0
ARG001,3151,Armentieres Gare,SITUE FACE AU DEPOSE MINUTE 59280 ARMENTIERES - COTE PARKING RELAIS,50.680894,2.878299,1,,0,6950,,0
RLI001,1488,Rue De Lille,RUE DE LILLE 59280 ARMENTIERES - AU DROIT DU N° 76,50.683617,2.879275,1,,0,6962,,0
BUI002,2271,Renan Buisson,AVENUE MARC SANGNIER 59280 ARMENTIERES -,50.701291,2.88448,1,,0,6956,,0
BUI001,3321,Renan Buisson,AVENUE MARC SANGNIER 59280 ARMENTIERES - AU DROIT DE INSTITUT N. BARRE,50.700896,2.88449,1,,0,6956,,0
MSG002,5584,Marc Sangnier,AVENUE MARC SANGNIER 59280 ARMENTIERES - A L'OPP DU N°79,50.697347,2.883802,1,,0,6957,,0
LEO002,5688,Leo Lagrange,AVENUE LEON BLUM 59280 ARMENTIERES - AU DROIT DU N° 195,50.694461,2.887399,1,,0,6959,,0
ARM007,5341,Hotel De Ville,PLACE DU GENERAL DE GAULLE 59280 ARMENTIERES - AU DROIT DU N° 12,50.686638,2.881651,1,,0,132,,0
AHO002,3438,Ct Hospitalier,BOULEVARD FAIDHERBE 59280 ARMENTIERES -,50.684257,2.870189,1,,0,6899,,0
BRV002,3710,Pierre Beregovoy,RUE DES FUSILLES 59280 ARMENTIERES - AU DROIT DU GRETA,50.691352,2.880573,1,,0,134,,0
AJO001,6069,Marechal Joffre,RUE DU MAL JOFFRE 59280 ARMENTIERES - A L'OPP DU N° 3,50.697604,2.886587,1,,0,123,,0
THI001,5324,Place Thiers,RUE NATIONALE 59280 ARMENTIERES - A L'OPP DU N° 55,50.687426,2.877932,1,,0,5887,,0
GAA002,3701,Gare Annexe,RUE DES RESISTANTS 59280 ARMENTIERES - AU DROIT DU N° 92,50.691556,2.872738,1,,0,114,,0
BLT002,6096,Louis Bleriot,RUE LEON BLUM 59280 ARMENTIERES - AU DROIT DU N° 1180,50.703347,2.887935,1,,0,133,,0
APH098,6095,Pres Du Hem,RUE LEO LAGRANGE 59280 ARMENTIERES - A L'OPP DU N° 33/35,50.694902,2.882998,1,,0,6958,,0
ACT001,6362,Cat,RUE COLI 59280 ARMENTIERES - A L'OPPOSE DU CAT,50.690971,2.889606,1,,0,2677,,0
GUD001,6361,Gustave Dron,RUE GUSTAVE DRON 59280 ARMENTIERES - A L'OPP DU N°37,50.6843,2.89117,1,,0,6987,,0
IDF002,6360,Lp De  Flandres,PLACE 19 MARS 1962 59280 ARMENTIERES - AU DROIT DE L'IMMEUBLE,50.688933,2.890134,1,,0,6380,,0
IDF001,6359,Lp De  Flandres,PLACE 19 MARS 1962 59280 ARMENTIERES -,50.688807,2.890231,1,,0,6380,,0
KEM002,6358,Resistants,RUE DES RESISTANTS 59280 ARMENTIERES - A L OPPOSER DE MC DONALD,50.692419,2.870375,1,,0,6897,,0
KEM001,6357,Resistants,RUE DES RESISTANTS 59280 ARMENTIERES -  50M APRES LE ROND POINT,50.692338,2.87036,1,,0,6897,,0
PCI002,6356,Europe,BOULEVARD FAIDHERBE 59280 ARMENTIERES - AU DROIT RUCHE D'ENTREPRISE,50.689515,2.865544,1,,0,6901,,0
THI002,4772,Place Thiers,RUE NATIONALE 59280 ARMENTIERES - AU DROIT DU N° 55,50.687282,2.877917,1,,0,5887,,0
