from_stop_id,to_stop_id,transfer_type,min_transfer_time
500437,500244,0,
500437,500245,0,
500247,500246,0,
500416,500247,0,
500251,500250,0,
500263,500250,0,
500264,500250,0,
500410,500250,0,
500411,500250,0,
500263,500251,0,
500264,500251,0,
500410,500251,0,
500411,500251,0,
500480,500254,0,
500401,500255,0,
500480,500255,0,
500346,500258,0,
500262,500261,0,
500462,500263,0,
500463,500263,0,
500462,500264,0,
500463,500264,0,
500431,500265,0,
500432,500265,0,
500431,500266,0,
500432,500266,0,
500269,500268,0,
500295,500270,0,
500296,500270,0,
500401,500270,0,
500296,500271,0,
500401,500271,0,
500276,500275,0,
500476,500275,0,
500477,500275,0,
500716,500275,0,
500476,500276,0,
500477,500276,0,
500716,500276,0,
500445,500279,0,
500446,500279,0,
500284,500283,0,
500383,500283,0,
500382,500284,0,
500366,500286,0,
500373,500286,0,
500374,500286,0,
500288,500287,0,
500465,500287,0,
500466,500287,0,
500464,500288,0,
500467,500288,0,
500705,500288,0,
500386,500291,0,
500296,500295,0,
500392,500295,0,
500393,500295,0,
500392,500296,0,
500393,500296,0,
500334,500298,0,
500308,500300,0,
500388,500300,0,
500480,500300,0,
500302,500301,0,
500426,500301,0,
500425,500302,0,
500304,500303,0,
500396,500308,0,
500397,500308,0,
500314,500313,0,
500378,500333,0,
500377,500334,0,
500695,500337,0,
500339,500338,0,
500348,500347,0,
500390,500347,0,
500391,500348,0,
500458,500353,0,
500459,500353,0,
500355,500354,0,
500407,500361,0,
500408,500361,0,
500540,500362,0,
500382,500363,0,
500383,500363,0,
500374,500366,0,
500368,500367,0,
500383,500382,0,
500387,500386,0,
500396,500388,0,
500397,500388,0,
500391,500390,0,
500397,500396,0,
500480,500396,0,
500480,500397,0,
500399,500398,0,
500480,500401,0,
500498,500409,0,
500499,500409,0,
500694,500409,0,
500430,500416,0,
500429,500417,0,
500419,500418,0,
500477,500418,0,
500716,500419,0,
500426,500425,0,
500430,500429,0,
500440,500429,0,
500441,500429,0,
500440,500430,0,
500432,500431,0,
500434,500433,0,
500504,500434,0,
500698,500434,0,
500441,500440,0,
500705,500442,0,
500705,500443,0,
500446,500445,0,
500465,500445,0,
500466,500445,0,
500464,500446,0,
500467,500446,0,
500449,500448,0,
500465,500448,0,
500451,500450,0,
500454,500453,0,
500701,500453,0,
500702,500453,0,
500701,500454,0,
500702,500454,0,
500708,500455,0,
500709,500455,0,
500457,500456,0,
500463,500462,0,
500467,500466,0,
500717,500471,0,
500477,500476,0,
500716,500477,0,
500479,500478,0,
500503,500478,0,
500703,500478,0,
500704,500478,0,
500502,500479,0,
500703,500479,0,
500704,500479,0,
500482,500481,0,
500492,500491,0,
500499,500498,0,
500703,500503,0,
500695,500518,0,
500695,500519,0,
500714,500526,0,
500714,500527,0,
500531,500530,0,
500555,500535,0,
500546,500536,0,
500555,500536,0,
500587,500537,0,
500588,500537,0,
500587,500538,0,
500588,500538,0,
500546,500545,0,
500555,500546,0,
500551,500549,0,
500551,500550,0,
500578,500557,0,
500677,500557,0,
500561,500560,0,
500604,500560,0,
500605,500560,0,
500606,500560,0,
500607,500560,0,
500604,500561,0,
500605,500561,0,
500606,500561,0,
500607,500561,0,
500565,500564,0,
500755,500569,0,
500573,500572,0,
500603,500572,0,
500602,500573,0,
500603,500573,0,
500577,500576,0,
500579,500578,0,
500581,500580,0,
500595,500580,0,
500588,500587,0,
500744,500589,0,
500745,500589,0,
500744,500590,0,
500745,500590,0,
500592,500591,0,
500744,500593,0,
500745,500593,0,
500744,500594,0,
500745,500594,0,
500609,500597,0,
500608,500598,0,
500733,500617,0,
500734,500617,0,
500619,500618,0,
500629,500623,0,
500672,500623,0,
500678,500623,0,
500630,500624,0,
500678,500624,0,
500743,500625,0,
500746,500625,0,
500743,500626,0,
500746,500626,0,
500678,500629,0,
500733,500629,0,
500734,500629,0,
500678,500630,0,
500733,500630,0,
500734,500630,0,
500672,500638,0,
500673,500638,0,
500672,500639,0,
500673,500639,0,
500742,500642,0,
500646,500645,0,
500733,500649,0,
500734,500649,0,
500754,500665,0,
500754,500676,0,
500687,500686,0,
500704,500703,0,
500742,500741,0,
500746,500743,0,
