stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
500643,THUG,"Victor Hugo",43.803179102,4.6586813313,0
500644,THUG2,"Victor Hugo",43.8031311162,4.6587174011,0
500645,TJARD,"Jardin des Plantes",43.8065058107,4.6577708456,0
500646,TJARD2,"Jardin des Plantes",43.8064464985,4.6577583374,0
500733,TMAIL,"Pharmacie route de Maillane",43.8065106215,4.6679303755,0
500734,TMAIL2,"Pharmacie route de Maillane",43.8064706375,4.6679077828,0
500649,TMARG,"La Margarido",43.805504337,4.6687754694,0
500650,TMBAR,"Barrachin",43.7537232628,4.6456829476,0
500651,TMLO,"Grand Mas",43.7657843101,4.6498767176,0
500735,TMOR,"Mas Morane",43.7512818701,4.6585720335,0
500736,TPAG,"Mas de Page",43.7695728846,4.6750750618,0
500737,TPAG2,"Mas de Page",43.7694561402,4.6752238398,0
500655,TPCAB,"Petite Cabanette",43.7499666639,4.6672170163,0
500738,TPITC2,"Mas Pitchounette",43.7800649289,4.6651720777,0
500739,TPITCH,"Mas Pitchounette",43.7799671737,4.6650129297,0
500658,TPLAT,"Les Platanes",43.8029084808,4.6614501538,0
500659,TPLAT2,"Les Platanes",43.8030593702,4.6615432358,0
500660,TPRIS2,"Maison d'Arrêt",43.7899480728,4.6590983895,0
500661,TRADO,"ZI du Radoubs",43.7973572934,4.6549433862,0
500662,TRADO2,"ZI du Radoubs",43.7973496333,4.6548809953,0
500740,TREN,"Mas de Renaud",43.7511570866,4.6592546913,0
500664,TROC,"Mas St Roch",43.7481093279,4.673550619,0
500665,TROUB,"Entrée ZAC du Roubian",43.7968741765,4.690333488,0
500666,TRTCL,"Clos des Vergers",43.8005013832,4.6752234523,0
500667,TRTCL2,"Clos des Vergers",43.8004836801,4.6752103084,0
500741,TRTE,"Petite route de Tarascon - Arles",43.7985397535,4.6641390818,0
500742,TRTE2,"Petite route de Tarascon - Arles",43.7985363264,4.6641940381,0
500670,TSOUS,"Souspiron",43.814255284,4.6627255906,0
500671,TSOUS2,"Souspiron",43.8142431855,4.6626606699,0
500672,TSTAD,"Le Stade La Provence",43.8108241301,4.6614777632,0
500673,TSTAD2,"Le Stade La Provence",43.8109253608,4.6613701291,0
500743,TSTREM,"Route de Saint-Rémy",43.8019840157,4.6658731484,0
500746,TSTRE2,"Route de Saint-Rémy",43.801864454,4.6657347752,0
500675,TTARA,"La Tarasque",43.8206718556,4.6698543229,0
500676,TZARO2,"ZAC du Roubian",43.7946449255,4.6919422287,0
500754,TZARO,"ZAC du Roubian",43.794640617,4.6921406964,0
500756,TZIRO,"ZI Roubian Sud",43.7918911892,4.6851809798,0
500677,SMCMG,"Mas de Gouin",43.6261315109,4.8032749551,0
500678,TMLASA,"Maison de la Santé",43.8073043414,4.663264996,0
40001,1,"Agora",43.2864653094,5.6015996272,0
40144,1B,"Agora",43.2868681922,5.6016594775,0
40383,387,"Bassin de la Gare",43.3004574121,5.5623030442,0
40384,387B,"Bassin de la Gare",43.3003339301,5.562222223,0
40556,80,"Jas de Valèze",43.3850581875,5.5662639774,0
40557,80B,"Jas de Valèze",43.3851760184,5.5662336237,0
40503,81,"Jeanne D'Arc",43.2983561937,5.5771574864,0
40504,81B,"Jeanne d'Arc",43.2981917169,5.5775422135,0
40397,411,"Joinville",43.3209982679,5.5811465068,0
40398,411B,"Joinville",43.3210105829,5.5810363424,0
40334,345,"Khamisis",43.295408014,5.5495223121,0
40335,345B,"Khamisis",43.2955258312,5.5494919715,0
40506,84,"La Bastidonne",43.2868845349,5.5164722515,0
40507,84B,"La Bastidonne",43.2870311456,5.5151631844,0
40510,87,"Gare",43.3931998916,5.594867737,0
40511,87B,"Gare",43.3935361551,5.5944551851,0
40512,88,"La Bourbonne",43.2835407501,5.5945396932,0
40500,8,"Battiers",43.402460573,5.5922982538,0
40265,296,"La Bourgade",43.2814050694,5.5217323809,0
40370,373,"La Chapelle",43.3963190948,5.6059115613,0
